file,type,count,samples
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased14\TrackBased14.unique.ovl,tks,15,"45medslope2straight; 45medslope; 45straight2medslope"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased15\TrackBased15.common.ovl,tks,12,"1mSlopetoStraight; 2mSlope; Hole01"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased15\TrackBased15.unique.ovl,tks,12,"1mSlopetoStraight; 2mSlope; Hole01"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased16\TrackBased16.common.ovl,tks,3,"ElevatorBaseSec; ElevatorTopSec; ElevatorMidSec"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased16\TrackBased16.unique.ovl,tks,3,"ElevatorBaseSec; ElevatorTopSec; ElevatorMidSec"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased17\TrackBased17.common.ovl,tks,3,"LauncherFFTopSec; LauncherFFBaseSec; LauncherFFMidSec"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased17\TrackBased17.unique.ovl,tks,3,"LauncherFFTopSec; LauncherFFBaseSec; LauncherFFMidSec"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased18\TrackBased18.common.ovl,tks,3,"RotoDropBase; RotoDropMidSec; RotoDropTop"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased18\TrackBased18.unique.ovl,tks,3,"RotoDropBase; RotoDropMidSec; RotoDropTop"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased19\TrackBased19.common.ovl,tks,3,"ObservationTopSec; ObservationMidSec; ObservationBaseSec"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased19\TrackBased19.unique.ovl,tks,3,"ObservationTopSec; ObservationMidSec; ObservationBaseSec"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased20\TrackBased20.common.ovl,tks,3,"DDOBaseSec; DDOTopSec; DDOMidSec"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased20\TrackBased20.unique.ovl,tks,3,"DDOBaseSec; DDOTopSec; DDOMidSec"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased21\TrackBased21.common.ovl,tks,126,"HelixSmallUpRightCapped; TiltedLooseCurveRightCapped; MedSlopeChain"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased21\TrackBased21.unique.ovl,tks,126,"HelixSmallUpRightCapped; TiltedLooseCurveRightCapped; MedSlopeChain"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased22\TrackBased22.common.ovl,tks,40,"Steepslopemedcurveright; Steepslopetightcurveleft; Medslopechain"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased22\TrackBased22.unique.ovl,tks,40,"Steepslopemedcurveright; Steepslopetightcurveleft; Medslopechain"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased23\TrackBased23.common.ovl,tks,112,"Straight2SteepslopeDown; HelixSmallRightDownCapped; 45SteepslopeDown"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased23\TrackBased23.unique.ovl,tks,112,"Straight2SteepslopeDown; HelixSmallRightDownCapped; 45SteepslopeDown"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased24\TrackBased24.common.ovl,tks,15,"Medslope2straight; Loosecurveright; 45medslope2straight"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased24\TrackBased24.unique.ovl,tks,15,"Medslope2straight; Loosecurveright; 45medslope2straight"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased25\TrackBased25.common.ovl,tks,57,"medcurvewidecapped; medcurve2medcurvewideleftcapped; medcurvewide2medcurveleftcapped"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased25\TrackBased25.unique.ovl,tks,57,"medcurvewidecapped; medcurve2medcurvewideleftcapped; medcurvewide2medcurveleftcapped"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\TrackedRides\TrackBased27\TrackBased27.common.ovl,tks,41,"medslopetightcurveleftdown; medcurvewide; WaterfallEnd"
