file,decoded,ftx_entries,crash
Characters\CM\CM08.common.ovl,0,0,
Characters\CM\CM08_Head_Main.common.ovl,0,0,
Characters\CM\CM08_Head_Stub.common.ovl,0,0,
Characters\CM\CM08_Skin.common.ovl,2,0,
Characters\Entertainers\Entertainer0.common.ovl,0,0,
Characters\Entertainers\Entertainer1.common.ovl,0,0,
Characters\Entertainers\Entertainer2.common.ovl,0,0,
Characters\Entertainers\Entertainer3.common.ovl,0,0,
Characters\Entertainers\Entertainer4.common.ovl,0,0,
Characters\Entertainers\Entertainer5.common.ovl,0,0,
Characters\Entertainers\Entertainer6.common.ovl,0,0,
Characters\Entertainers\Entertainers.common.ovl,0,0,
Characters\HM\Handyman.common.ovl,0,0,
Characters\HM\HM01.common.ovl,0,0,
Characters\HM\HM01_Body_Main.common.ovl,0,0,
Characters\HM\HM01_Body_Stub.common.ovl,0,0,
Characters\HM\HM01_Head_Main.common.ovl,0,0,
Characters\HM\HM01_Head_Stub.common.ovl,0,0,
Characters\HM\HM01_Legs_Main.common.ovl,0,0,
Characters\HM\HM01_Legs_Stub.common.ovl,0,0,
Characters\HM\HM01_Skin.common.ovl,2,0,
Characters\JoeSlugger\JoeSlugger.common.ovl,0,0,
Characters\JoeSlugger\JS01.common.ovl,0,0,
Characters\JoeSlugger\JS01_All.common.ovl,2,0,
Characters\JoeSlugger\JS01_Body_Main.common.ovl,0,0,
Characters\JoeSlugger\JS01_Body_Stub.common.ovl,0,0,
Characters\JoeSlugger\JS01_Head_Main.common.ovl,0,0,
Characters\JoeSlugger\JS01_Head_Stub.common.ovl,0,0,
Characters\JoeSlugger\JS01_Legs_Main.common.ovl,0,0,
Characters\JoeSlugger\JS01_Legs_Stub.common.ovl,0,0,
Characters\JoeSlugger\JS01_SwimSuit.common.ovl,2,0,
Characters\JoeSlugger\JS01_SwimSuitBody_Main.common.ovl,0,0,
Characters\JoeSlugger\JS01_SwimSuitBody_Stub.common.ovl,0,0,
Characters\JoeSlugger\JS01_SwimSuitLegs_Main.common.ovl,0,0,
Characters\JoeSlugger\JS01_SwimSuitLegs_Stub.common.ovl,0,0,
Characters\Lifeguard\LG01.common.ovl,0,0,
Characters\Lifeguard\LG01_All.common.ovl,2,0,
Characters\Lifeguard\LG01_Body_Main.common.ovl,0,0,
Characters\Lifeguard\LG01_Body_Stub.common.ovl,0,0,
Characters\Lifeguard\LG01_Head_Main.common.ovl,0,0,
Characters\Lifeguard\LG01_Head_Stub.common.ovl,0,0,
Characters\Lifeguard\LG01_Legs_Main.common.ovl,0,0,
Characters\Lifeguard\LG01_Legs_Stub.common.ovl,0,0,
Characters\Maintenance\Mechanic.common.ovl,0,0,
Characters\Maintenance\Mechanic01.common.ovl,0,0,
Characters\Maintenance\Mechanic01_Body_Main.common.ovl,0,0,
Characters\Maintenance\Mechanic01_Body_Stub.common.ovl,0,0,
Characters\Maintenance\Mechanic01_Head_Main.common.ovl,0,0,
Characters\Maintenance\Mechanic01_Head_Stub.common.ovl,0,0,
Characters\Maintenance\Mechanic01_Legs_Main.common.ovl,0,0,
Characters\Maintenance\Mechanic01_Legs_Stub.common.ovl,0,0,
Characters\Maintenance\Mechanic01_Skin.common.ovl,2,0,
Characters\MovieStar\Popstar.common.ovl,0,0,
Characters\MovieStar\Popstar01.common.ovl,0,0,
Characters\MovieStar\Popstar01_All.common.ovl,2,0,
