file,type,count,samples
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Seizmic\Seizmic.common.ovl,spl,2,"trackTrack; carCar"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Seizmic\Seizmic.unique.ovl,spl,2,"trackTrack; carCar"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\SideFriction\SideFriction.common.ovl,spl,2,"CARCAR; TRACKTRACK"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\SideFriction\SideFriction.unique.ovl,spl,2,"CARCAR; TRACKTRACK"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\SkySwinger\SkySwinger.common.ovl,spl,3,"trackbigTrackBig; trackTrack; carCar"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\SkySwinger\SkySwinger.unique.ovl,spl,3,"trackbigTrackBig; trackTrack; carCar"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\SpinningSteel\SpinningSteel.common.ovl,spl,2,"TRACKTRACK; CARCAR"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\SpinningSteel\SpinningSteel.unique.ovl,spl,2,"TRACKTRACK; CARCAR"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\SpinningWild\SpinningWild.common.ovl,spl,2,"carcar; tracktrack"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\SpinningWild\SpinningWild.unique.ovl,spl,2,"carcar; tracktrack"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\SpiralCoaster\SpiralCoaster.common.ovl,spl,2,"carcar; tracktrack"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\SpiralCoaster\SpiralCoaster.unique.ovl,spl,2,"carcar; tracktrack"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\StandupCoaster\StandupCoaster.common.ovl,spl,2,"CARCAR; TRACKTRACK"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\StandupCoaster\StandupCoaster.unique.ovl,spl,2,"CARCAR; TRACKTRACK"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\StandupTwister\StandupTwister.common.ovl,spl,2,"carcar; tracktrack"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\StandupTwister\StandupTwister.unique.ovl,spl,2,"carcar; tracktrack"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Stormrunner\Stormrunner.common.ovl,spl,2,"tracktrack; carcar"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Stormrunner\Stormrunner.unique.ovl,spl,2,"tracktrack; carcar"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\StratoCoaster\StratoCoaster.common.ovl,spl,2,"tracktrack; carcar"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\StratoCoaster\StratoCoaster.unique.ovl,spl,2,"tracktrack; carcar"
