file,spl_count,tks_count,spl_samples,tks_samples
tracks\coasters\Track34\Track34.unique.ovl,788,394,"StraightblockbrakesjoinedL_Spline; Medslope2medslopetiltright_rL_Spline; Stationmiddlejoined_rR_Spline","Sbendright_l; Straight2medslopetiltleftjoined; Medslopeloosecurverightjoined_r"
tracks\coasters\Track35\Track35.common.ovl,86,43,"VerticalTowerDownR_Spline; SmallLoopRightR_Spline; HelixLargeLeftR_Spline","TowerCap; LargeLoopLeft; VerticalTowerUp"
tracks\coasters\Track35\Track35.unique.ovl,86,43,"VerticalTowerDownR_Spline; SmallLoopRightR_Spline; HelixLargeLeftR_Spline","TowerCap; LargeLoopLeft; VerticalTowerUp"
tracks\coasters\Track36\Track36.common.ovl,170,85,"SteepslopemedcurverightR_spline; Medslopetiltleft2straighttiltleftR_Spline; 45medslope2straightL_Spline","Steepslopemedcurveright; Steepslopetightcurveleft; Medslopechain"
tracks\coasters\Track36\Track36.unique.ovl,170,85,"SteepslopemedcurverightR_spline; Medslopetiltleft2straighttiltleftR_Spline; 45medslope2straightL_Spline","Steepslopemedcurveright; Steepslopetightcurveleft; Medslopechain"
tracks\coasters\Track4\Track4.common.ovl,108,27,"MedcurvecappedL_spline; MedcurvecappedL_waterSpline; MedcurvecappedR_spline","Medcurve; Medcurvecapped; Medslope2steepslope"
tracks\coasters\Track4\Track4.unique.ovl,108,27,"MedcurvecappedL_spline; MedcurvecappedL_waterSpline; MedcurvecappedR_spline","Medcurve; Medcurvecapped; Medslope2steepslope"
tracks\coasters\Track5\Track5.common.ovl,680,340,"InvmedslopechainL_Spline; 45inlinetwistrightl_spline; InvstraightbrakesL_Spline","LooseCorkscrewLeft; 45invmedslope2straightchain; 45invstraight2medslopechain"
tracks\coasters\Track5\Track5.unique.ovl,680,340,"InvmedslopechainL_Spline; 45inlinetwistrightl_spline; InvstraightbrakesL_Spline","LooseCorkscrewLeft; 45invmedslope2straightchain; 45invstraight2medslopechain"
tracks\coasters\Track59\Track59.common.ovl,290,145,"Tiltedmedslopeloosecurverightl_spline; Medslopeoverbankedcurverightr_spline; Tilt90r_spline","Steepslopetightcurveleft; 45medslope2straighttiltright; Tilted45medslopeloosecurveright"
tracks\coasters\Track59\Track59.unique.ovl,290,145,"Tiltedmedslopeloosecurverightl_spline; Medslopeoverbankedcurverightr_spline; Tilt90r_spline","Steepslopetightcurveleft; 45medslope2straighttiltright; Tilted45medslopeloosecurveright"
tracks\coasters\Track6\Track6.common.ovl,210,105,"45medslope2steepslopeL_Spline; 45medslope2steepslopeR_Spline; 45medslope2straightchainL_Spline","45medslope2steepslope; 45medslope2straight; 45medslope2straightchain"
tracks\coasters\Track6\Track6.unique.ovl,210,105,"45medslope2steepslopeL_Spline; 45medslope2steepslopeR_Spline; 45medslope2straightchainL_Spline","45medslope2steepslope; 45medslope2straight; 45medslope2straightchain"
tracks\coasters\Track60\Track60.common.ovl,90,45,"InvstraightbrakesL_Spline; Vertical2InvStraightL_Spline; Invsteepslope2verticalL_Spline","Invmedslope; InvVertical2SteepSlope; InvMedslope2Vertical"
tracks\coasters\Track60\Track60.unique.ovl,90,45,"InvstraightbrakesL_Spline; Vertical2InvStraightL_Spline; Invsteepslope2verticalL_Spline","Invmedslope; InvVertical2SteepSlope; InvMedslope2Vertical"
tracks\coasters\Track7\Track7.common.ovl,38,19,"InlinetwistleftL_spline; InlinetwistleftR_spline; InlinetwistrightL_spline","Inlinetwistleft; Inlinetwistright; Lowertransfer"
tracks\coasters\Track7\Track7.unique.ovl,38,19,"InlinetwistleftL_spline; InlinetwistleftR_spline; InlinetwistrightL_spline","Inlinetwistleft; Inlinetwistright; Lowertransfer"
